Comarca,Any,Preu mitjà lloguer,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,RFDB per habitant - Mensual
Alt Urgell,2011,394.6893287425149,279180,13100.0,78.3,1091.67
Alt Penedès,2011,466.50889273709487,1708519,16200.0,97.1,1350.0
Alt Empordà,2011,465.8340140204865,1746263,12600.0,75.6,1050.0
Garrotxa,2011,394.6887835877863,873891,15800.0,94.7,1316.67
Baix Llobregat,2011,653.0393982621596,13831149,17300.0,103.7,1441.67
Gironès,2011,516.0656110268949,2822581,15500.0,93.1,1291.67
Baix Empordà,2011,484.7928230571613,1810666,13700.0,82.3,1141.67
Montsià,2011,345.3635006237006,829905,11600.0,69.9,966.67
Maresme,2011,609.4930747186352,7156159,16500.0,99.0,1375.0
Vallès Oriental,2011,558.8689376173912,6490704,16400.0,98.4,1366.67
Vallès Occidental,2011,592.2266932888793,15264529,17100.0,102.6,1425.0
Urgell,2011,351.2287946902655,496787,13400.0,80.7,1116.67
Terra Alta,2011,311.9409348837209,157628,12500.0,75.2,1041.67
Tarragonès,2011,489.9723175135135,3639678,14600.0,87.7,1216.67
Solsonès,2011,333.84243435582823,187022,13600.0,81.8,1133.33
Selva,2011,464.3524063636364,2230110,13100.0,78.7,1091.67
Segrià,2011,404.37061259968107,3017490,14600.0,87.6,1216.67
Ribera d'Ebre,2011,342.9878124087591,335375,14400.0,86.2,1200.0
Ripollès,2011,384.5440054393306,426325,16200.0,97.4,1350.0
Priorat,2011,347.4344775862069,128156,12900.0,77.4,1075.0
Pla d'Urgell,2011,373.8541795081968,500466,13500.0,81.2,1125.0
Pla de l'Estany,2011,470.00890175,486785,15600.0,93.7,1300.0
Pallars Sobirà,2011,385.1591625,100917,13600.0,81.9,1133.33
Pallars Jussà,2011,319.3397261261261,196533,13900.0,83.5,1158.33
Osona,2011,443.9038992728532,2412377,15700.0,94.3,1308.33
Segarra,2011,334.2826321428571,318336,13700.0,82.4,1141.67
Noguera,2011,336.5636795620438,513819,12900.0,77.3,1075.0
Garrigues,2012,345.1858353982302,255816,12800.0,80.9,1066.67
Garraf,2012,618.7925250519318,2219787,15300.0,96.8,1275.0
Conca de Barberà,2012,351.97940159574455,293409,14000.0,88.6,1166.67
Cerdanya,2012,534.5060711055276,244658,13100.0,83.0,1091.67
Berguedà,2012,343.4344829977627,638675,15700.0,98.9,1308.33
Barcelonès,2012,688.8640024476543,39629880,17800.0,112.4,1483.33
Baix Penedès,2012,451.0076239849624,1333587,13300.0,83.9,1108.33
Bages,2012,378.0590593080724,2681888,15200.0,96.3,1266.67
Baix Empordà,2012,474.87492446682455,1699585,12900.0,81.4,1075.0
Baix Ebre,2012,339.77424306220104,980613,12100.0,76.5,1008.33
Garrotxa,2012,376.8355483333335,834803,15100.0,95.4,1258.33
Anoia,2012,391.3309650067293,1695834,14300.0,90.6,1191.67
Alta Ribagorça,2012,350.2272681818182,59262,14400.0,91.2,1200.0
Alt Urgell,2012,382.6423347107439,265155,12600.0,79.6,1050.0
Alt Penedès,2012,439.1938326237053,1628974,15400.0,97.3,1283.33
Alt Empordà,2012,447.2279805035308,1663163,12000.0,75.8,1000.0
Alt Camp,2012,388.5376290220818,625839,14000.0,88.1,1166.67
Baix Llobregat,2012,619.2263508395265,13235192,16500.0,104.4,1375.0
Gironès,2012,484.693085752688,2676758,14700.0,92.9,1225.0
Osona,2012,421.9117752600778,2351803,15300.0,96.8,1275.0
Montsià,2012,316.086711299435,801696,11300.0,71.5,941.67
Vallès Oriental,2012,537.6255560019518,6259045,15800.0,99.5,1316.67
Vallès Occidental,2012,564.7223370776802,14551038,16300.0,102.7,1358.33
