Comarca,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,Any
Pallars Sobirà,94739,13.4,83.8,2014
Pla d'Urgell,478863,13.1,81.7,2014
Pla de l'Estany,466379,14.9,93.1,2014
Priorat,123252,13.0,81.1,2014
Ribera d'Ebre,317678,14.1,88.2,2014
Ripollès,401268,15.8,98.6,2014
Segarra,308077,13.7,85.4,2014
Segrià,2893713,14.1,88.1,2014
Selva,2146807,12.9,80.3,2014
Solsonès,177634,13.2,82.6,2014
Tarragonès,3551238,14.2,89.0,2014
Terra Alta,149666,12.6,78.8,2014
Urgell,474595,13.1,82.2,2014
Vallès Occidental,14584192,16.3,101.9,2014
Vallès Oriental,6261492,15.8,98.5,2014
Alt Camp,645998,14.6,87.9,2015
Alt Empordà,1725321,12.7,76.0,2015
Alt Penedès,1652123,15.7,94.0,2015
Alt Urgell,260614,12.7,76.4,2015
Alta Ribagorça,56543,14.6,87.4,2015
Anoia,1728525,14.7,88.6,2015
Aran,133203,13.6,81.8,2015
Bages,2750976,15.9,95.4,2015
Baix Camp,2685219,14.2,85.5,2015
Baix Ebre,968483,12.3,74.1,2015
Baix Empordà,1739026,13.4,80.3,2015
Baix Llobregat,14051971,17.5,105.4,2015
Baix Penedès,1332487,13.5,80.8,2015
Barcelonès,41591486,18.9,113.5,2015
Berguedà,623599,15.9,95.7,2015
Cerdanya,234726,13.2,79.4,2015
Conca de Barberà,289238,14.2,85.6,2015
Garraf,2365086,16.4,98.7,2015
Garrigues,253954,13.2,79.4,2015
Garrotxa,858851,15.6,93.9,2015
Gironès,2831825,15.6,93.8,2015
Maresme,7101452,16.3,98.2,2015
Moianès,201572,15.4,92.8,2015
Montsià,793729,11.7,70.0,2015
Noguera,505733,13.1,78.8,2015
Osona,2440236,15.9,95.8,2015
Pallars Jussà,182980,13.8,82.8,2015
Pallars Sobirà,94735,13.6,81.9,2015
Pla d'Urgell,497190,13.5,81.4,2015
Pla de l'Estany,481370,15.4,92.3,2015
Priorat,124860,13.3,79.9,2015
Ribera d'Ebre,317014,14.3,85.6,2015
Ripollès,403155,16.0,96.4,2015
Segarra,315808,14.1,84.7,2015
Segrià,2991566,14.6,87.7,2015
Selva,2215790,13.4,80.3,2015
Solsonès,181013,13.5,81.1,2015
Tarragonès,3631752,14.6,87.4,2015
Terra Alta,148906,12.7,76.6,2015
Urgell,483915,13.5,80.9,2015
Vallès Occidental,15306067,17.0,102.4,2015
Vallès Oriental,6600264,16.6,99.6,2015
Alt Camp,659496,15.0,88.1,2016
Alt Empordà,1799501,13.2,77.6,2016
Alt Penedès,1689826,15.9,93.8,2016
Alt Urgell,263664,13.0,76.4,2016
Alta Ribagorça,56475,14.7,86.4,2016
Anoia,1753569,14.9,87.6,2016
Aran,138625,14.1,83.2,2016
Bages,2767326,16.0,93.9,2016
Baix Camp,2751495,14.6,85.8,2016
Baix Ebre,995851,12.8,75.2,2016
Baix Empordà,1790830,13.7,80.8,2016
Baix Llobregat,14347276,17.8,104.9,2016
Baix Penedès,1349153,13.5,79.6,2016
Barcelonès,42792694,19.3,113.7,2016
Berguedà,624381,16.0,94.4,2016
Cerdanya,246857,13.9,81.9,2016
Conca de Barberà,297375,14.8,87.0,2016
Garraf,2438877,16.8,99.1,2016
Garrigues,247103,13.0,76.3,2016
Garrotxa,886097,16.1,94.8,2016
Gironès,2931615,16.0,94.5,2016
Maresme,7375248,16.9,99.4,2016
Moianès,201343,15.3,90.2,2016
Montsià,799330,11.8,69.2,2016
Noguera,498208,13.0,76.4,2016
Osona,2539509,16.5,97.0,2016
Pallars Jussà,177519,13.5,79.6,2016
Pallars Sobirà,93405,13.5,79.7,2016
Pla d'Urgell,496365,13.5,79.4,2016
Pla de l'Estany,497757,15.8,93.1,2016
Priorat,125156,13.5,79.3,2016
Ribera d'Ebre,316769,14.4,84.8,2016
Ripollès,411947,16.5,97.2,2016
Segarra,306745,13.7,80.8,2016
Segrià,3038758,14.9,87.5,2016
Selva,2263769,13.7,80.4,2016
Solsonès,178423,13.3,78.2,2016
Tarragonès,3730066,14.9,87.8,2016
Terra Alta,149268,12.9,75.9,2016
Urgell,483676,13.5,79.4,2016
Vallès Occidental,15746989,17.4,102.5,2016
Vallès Oriental,6655516,16.6,97.9,2016
Alt Camp,669330,15.2,87.9,2017
Alt Empordà,1907086,13.9,80.8,2017
Alt Penedès,1714730,16.0,92.8,2017
Alt Urgell,273172,13.5,78.3,2017
Alta Ribagorça,58770,15.4,89.0,2017
Anoia,1814926,15.3,88.5,2017
Aran,148321,15.0,87.1,2017
Bages,2844538,16.3,94.6,2017
Baix Camp,2820257,14.9,86.3,2017
Baix Ebre,1030000,13.3,77.1,2017
Baix Empordà,1878693,14.3,83.1,2017
Baix Llobregat,14502529,17.9,103.7,2017
Baix Penedès,1398918,13.8,80.1,2017
Barcelonès,43513856,19.5,112.9,2017
Berguedà,647832,16.6,96.3,2017
Cerdanya,257518,14.5,84.1,2017
Conca de Barberà,309763,15.5,89.5,2017
Garraf,2532020,17.3,100.5,2017
Garrigues,257308,13.6,78.7,2017
Garrotxa,924967,16.7,96.8,2017
Gironès,3035157,16.4,95.1,2017
Maresme,7598082,17.3,100.0,2017
Moianès,215456,16.2,94.1,2017
Montsià,827341,12.2,70.5,2017
Noguera,514357,13.4,77.9,2017
Osona,2651338,17.0,98.6,2017
Pallars Jussà,185836,14.3,82.8,2017
Pallars Sobirà,101126,14.7,84.9,2017
Pla d'Urgell,517814,14.0,81.3,2017
Pla de l'Estany,515500,16.3,94.2,2017
Priorat,129394,14.0,81.0,2017
Ribera d'Ebre,319059,14.6,84.8,2017
Ripollès,428368,17.2,99.7,2017
Segarra,315244,14.1,81.5,2017
Segrià,3127829,15.3,88.6,2017
Selva,2343819,14.1,81.8,2017
Solsonès,190355,14.1,81.7,2017
Tarragonès,3760914,14.9,86.4,2017
Terra Alta,155782,13.6,78.7,2017
Urgell,506939,14.1,81.7,2017
Vallès Occidental,16065952,17.6,102.1,2017
Vallès Oriental,6820438,16.9,97.9,2017
Alt Camp,688301,15.5,88.9,2018
Alt Empordà,1979795,14.4,82.4,2018
Alt Penedès,1765260,16.3,93.4,2018
Alt Urgell,276807,13.7,78.4,2018
Alta Ribagorça,57457,15.1,86.1,2018
Anoia,1864610,15.5,88.9,2018
Aran,156384,15.8,90.2,2018
Bages,2925665,16.6,95.2,2018
Baix Camp,2914660,15.3,87.2,2018
Baix Ebre,1068042,13.8,79.1,2018
Baix Empordà,1928795,14.6,83.7,2018
Baix Llobregat,14800050,18.1,103.8,2018
Baix Penedès,1475790,14.3,81.7,2018
Barcelonès,44173954,19.6,112.2,2018
Berguedà,660588,16.9,96.5,2018
Cerdanya,274017,15.3,87.6,2018
Conca de Barberà,313805,15.7,90.0,2018
Garraf,2611108,17.7,101.5,2018
Garrigues,262172,13.9,79.4,2018
Garrotxa,942198,16.8,96.2,2018
Gironès,3078923,16.4,94.0,2018
Maresme,7827081,17.6,100.7,2018
Moianès,224601,16.8,95.8,2018
Montsià,869417,12.8,73.0,2018
Noguera,522148,13.7,78.1,2018
Osona,2685229,17.0,97.4,2018
Pallars Jussà,185794,14.4,82.2,2018
Pallars Sobirà,103587,15.0,85.9,2018
Pla d'Urgell,528576,14.3,81.7,2018
Pla de l'Estany,526598,16.5,94.3,2018
Priorat,132115,14.4,82.1,2018
Ribera d'Ebre,319564,14.7,84.3,2018
Ripollès,422501,17.0,97.0,2018
Segarra,323487,14.4,82.1,2018
Segrià,3207762,15.6,89.3,2018
Selva,2439236,14.6,83.3,2018
Solsonès,201741,14.9,85.0,2018
Tarragonès,3881559,15.2,86.9,2018
Terra Alta,157682,13.9,79.3,2018
Urgell,515950,14.2,81.4,2018
Vallès Occidental,16295712,17.7,101.3,2018
Vallès Oriental,7002952,17.2,98.4,2018
Alt Camp,720050,16.1,88.4,2019
Alt Empordà,2033739,14.7,80.4,2019
Alt Penedès,1837790,16.9,92.4,2019
Alt Urgell,293861,14.6,80.2,2019
Alta Ribagorça,61519,16.0,87.9,2019
Anoia,1963393,16.1,88.3,2019
Aran,169420,16.9,92.8,2019
Bages,3091028,17.4,95.2,2019
Baix Camp,3066606,15.8,86.8,2019
Baix Ebre,1121307,14.5,79.3,2019
Baix Empordà,2036305,15.3,84.0,2019
Baix Llobregat,15572754,18.9,103.7,2019
Baix Penedès,1582558,15.0,82.0,2019
Barcelonès,46642944,20.5,112.2,2019
Berguedà,681895,17.2,94.5,2019
Cerdanya,286947,15.7,86.3,2019
Conca de Barberà,327068,16.5,90.4,2019
Garraf,2769436,18.6,102.0,2019
Garrigues,271033,14.3,78.5,2019
Garrotxa,1000972,17.6,96.3,2019
Gironès,3350978,17.6,96.7,2019
Maresme,8289182,18.4,101.0,2019
Moianès,235159,17.2,94.5,2019
Montsià,906728,13.2,72.3,2019
Noguera,550361,14.3,78.6,2019
Osona,2832413,17.7,96.9,2019
Pallars Jussà,195842,15.1,82.7,2019
