Comarca,Any,Preu mitjà lloguer
Pallars Jussà,2006,271.8604849999999
Pallars Sobirà,2006,424.5208333333334
Pla de l'Estany,2006,406.25550780952364
Pla d'Urgell,2006,410.70076218118766
Priorat,2006,365.1666555555555
Ribera d'Ebre,2006,302.8294499999999
Ripollès,2006,341.03790447712413
Segarra,2006,299.4992857142857
Segrià,2006,394.87426686277837
Selva,2006,521.2844915149979
Solsonès,2006,369.5208954358975
Tarragonès,2006,471.3444220361312
Terra Alta,2006,288.7499875
Urgell,2006,297.30503503010397
Val d'Aran,2006,563.4905583333334
Vallès Occidental,2006,604.5986967967625
Vallès Oriental,2006,525.1482330619308
Alt Camp,2005,365.62500272652795
Alt Empordà,2005,392.9592035334828
Alt Penedès,2005,444.1479331514124
Alt Urgell,2005,355.45042645875253
Alta Ribagorça,2005,380.0
Anoia,2005,368.6709736088189
Bages,2005,336.5492330865855
Baix  Camp,2005,362.6176261584747
Baix Ebre,2005,297.07958843324565
Baix Empordà,2005,469.7566837104419
Baix Llobregat,2005,578.729730792171
Baix Penedès,2005,468.0586624386498
Barcelonès,2005,615.3557955237426
Berguedà,2005,295.71385158836256
Cerdanya,2005,520.349812378247
Conca de Barberà,2005,314.3292002857143
Garraf,2005,586.6051081220085
Garrigues,2005,290.3048331900824
Garrotxa,2005,305.0384540595389
Gironès,2005,462.18253521342274
Maresme,2005,567.0298687170551
Montsià,2005,365.19785746424935
Noguera,2005,273.04491834319515
Osona,2005,392.76530844046704
Pallars Jussà,2005,264.48343020833335
Pallars Sobirà,2005,352.3124999999999
Pla de l'Estany,2005,438.8146174254317
Pla d'Urgell,2005,340.95167187499993
Priorat,2005,277.11250833333344
Ribera d'Ebre,2005,210.75971832607644
Ripollès,2005,260.06121187499986
Segarra,2005,302.25
Segrià,2005,343.8336382913456
Selva,2005,401.9104206800789
Solsonès,2005,281.7660764705883
Tarragonès,2005,437.4736057710249
Terra Alta,2005,230.0
Urgell,2005,281.59914351851853
Val d'Aran,2005,427.3827751724138
Vallès Occidental,2005,542.0991306877061
Vallès Oriental,2005,483.2253024248528
